ID,Qualification,Marital_Status
1338,Intermediate,Single
1339,Bachelor,Single
1340,Master,Married
1341,Bachelor,Single
1342,Intermediate,Married
1343,Master,Divorced
1344,PhD,Divorced
1345,Master,Married
1346,Master,Single
1347,PhD,Single
1348,Master,Married
1349,Bachelor,Married
1350,Intermediate,Single
1351,Master,Married
1352,Bachelor,Married
1353,Intermediate,Widowed
1354,Bachelor,Married
1355,Master,Married
1356,Intermediate,Single
1357,Bachelor,Widowed
1358,Intermediate,Married
1359,Intermediate,Single
1360,Master,Married
1361,PhD,Married
1362,Intermediate,Married
1363,PhD,Married
1364,Master,Married
1365,Bachelor,Single
1366,Matric,Married
1367,Master,Divorced
1368,Matric,Widowed
1369,Matric,Married
1370,Bachelor,Married
1371,PhD,Single
1372,Intermediate,Single
1373,Bachelor,Married
1374,Bachelor,Divorced
1375,Master,Divorced
1376,Bachelor,Single
1377,Bachelor,Married
1378,Matric,Single
1379,Bachelor,Single
1380,Bachelor,Married
1381,Bachelor,Married
1382,Master,Married
1383,Bachelor,Widowed
1384,Bachelor,Single
1385,Bachelor,Divorced
1386,Bachelor,Widowed
1387,Master,Divorced
1388,Bachelor,Single
1389,Intermediate,Single
1390,Bachelor,Divorced
1391,PhD,Married
1392,Bachelor,Married
1393,Intermediate,Married
1394,Master,Married
1395,Matric,Single
1396,Master,Single
1397,PhD,Married
1398,Matric,Married
1399,Bachelor,Married
1400,Master,Single
1401,Intermediate,Single
1402,Matric,Married
1403,Master,Married
1404,Bachelor,Married
1405,Matric,Single
1406,Bachelor,Married
1407,Bachelor,Married
1408,Master,Single
1409,Matric,Single
1410,Matric,Single
1411,Master,Married
1412,Master,Widowed
1413,Bachelor,Single
1414,Bachelor,Married
1415,Master,Married
1416,Master,Single
1417,Intermediate,Single
1418,Master,Single
1419,Intermediate,Divorced
1420,Bachelor,Divorced
1421,Bachelor,Divorced
1422,PhD,Married
1423,Master,Widowed
1424,Bachelor,Married
1425,PhD,Married
1426,PhD,Married
1427,Intermediate,Married
1428,Matric,Married
1429,Master,Married
1430,Bachelor,Married
1431,Bachelor,Married
1432,Master,Widowed
1433,Matric,Married
1434,Bachelor,Married
1435,Bachelor,Widowed
1436,Bachelor,Married
1437,Matric,Single
1438,Intermediate,Married
1439,Matric,Single
1440,Master,Married
1441,Intermediate,Single
1442,Master,Divorced
1443,PhD,Married
1444,Bachelor,Single
1445,Bachelor,Married
1446,PhD,Divorced
1447,Intermediate,Married
1448,Matric,Divorced
1449,Master,Married
1450,Bachelor,Divorced
1451,Master,Married
1452,Master,Divorced
1453,Matric,Divorced
1454,Matric,Widowed
1455,Bachelor,Married
1456,PhD,Married
1457,Intermediate,Single
1458,Bachelor,Single
1459,Master,Married
1460,Master,Married
1461,Master,Married
1462,Bachelor,Married
1463,Master,Married
1464,Intermediate,Married
1465,Bachelor,Married
1466,Intermediate,Single
1467,Master,Divorced
1468,Intermediate,Married
1469,Bachelor,Single
1470,Master,Single
1471,Master,Married
1472,Bachelor,Married
1473,Master,Married
1474,Intermediate,Married
1475,Master,Divorced
1476,Master,Single
1477,Bachelor,Married
1478,Intermediate,Married
1479,Matric,Single
1480,Bachelor,Single
1481,Intermediate,Single
1482,Master,Single
1483,Master,Married
1484,Master,Single
1485,Master,Married
1486,Bachelor,Divorced
1487,Bachelor,Single
1488,Bachelor,Married
1489,Matric,Single
1490,Bachelor,Married
1491,Bachelor,Single
1492,Intermediate,Single
1493,Intermediate,Married
1494,Master,Married
1495,Master,Married
1496,Master,Married
1497,Bachelor,Married
1498,Intermediate,Divorced
1499,Bachelor,Single
1500,Intermediate,Single
1501,Master,Single
1502,PhD,Married
1503,Bachelor,Married
1504,Master,Married
1505,Master,Widowed
1506,Master,Widowed
1507,PhD,Divorced
1508,Master,Married
1509,Intermediate,Married
1510,Bachelor,Married
1511,Bachelor,Single
1512,Master,Married
1513,Intermediate,Married
1514,Intermediate,Single
1515,Matric,Single
1516,Intermediate,Single
1517,Master,Married
1518,Matric,Single
1519,Bachelor,Married
1520,Intermediate,Single
1521,PhD,Divorced
1522,Master,Single
1523,Bachelor,Divorced
1524,PhD,Married
1525,Bachelor,Single
1526,Master,Divorced
1527,PhD,Married
1528,Intermediate,Married
1529,PhD,Married
1530,Master,Married
1531,Bachelor,Single
1532,Matric,Married
1533,PhD,Single
1534,PhD,Single
1535,Bachelor,Married
1536,Bachelor,Married
1537,Intermediate,Married
1538,Matric,Divorced
1539,Master,Married
1540,Master,Single
1541,Intermediate,Married
1542,Master,Divorced
1543,Bachelor,Married
1544,Bachelor,Married
1545,Bachelor,Married
1546,Bachelor,Single
1547,Intermediate,Divorced
1548,Intermediate,Married
1549,Master,Married
1550,Master,Single
1551,PhD,Divorced
1552,Bachelor,Married
1553,Bachelor,Married
1554,Bachelor,Married
1555,Matric,Single
1556,Master,Married
1557,Master,Widowed
1558,PhD,Single
1559,Master,Married
1560,Bachelor,Married
1561,Bachelor,Single
1562,Master,Married
1563,Matric,Married
1564,Intermediate,Married
1565,Master,Single
1566,Intermediate,Single
1567,Bachelor,Married
1568,Bachelor,Single
1569,Matric,Married
1570,Master,Single
1571,Intermediate,Married
1572,Master,Single
1573,Bachelor,Single
1574,Bachelor,Widowed
1575,Bachelor,Single
1576,Bachelor,Married
1577,Bachelor,Single
1578,Master,Married
1579,Master,Married
1580,Intermediate,Single
1581,Master,Single
1582,Bachelor,Single
1583,Bachelor,Single
1584,PhD,Married
1585,Bachelor,Married
1586,Bachelor,Married
1587,Bachelor,Married
1588,Master,Married
1589,Bachelor,Single
1590,Matric,Single
1591,Matric,Widowed
1592,Matric,Married
1593,Intermediate,Single
1594,Matric,Married
1595,Bachelor,Widowed
1596,Master,Single
1597,Master,Married
1598,Master,Married
1599,Bachelor,Married
1600,Master,Married
1601,Bachelor,Widowed
1602,Intermediate,Married
1603,Intermediate,Married
1604,Bachelor,Single
1605,Master,Married
1606,Master,Married
1607,Master,Married
1608,Matric,Single
1609,Master,Married
1610,Matric,Single
1611,Bachelor,Married
1612,Bachelor,Married
1613,Master,Single
1614,Master,Married
1615,Master,Married
1616,Intermediate,Married
1617,Intermediate,Married
1618,Master,Widowed
1619,Master,Married
1620,Matric,Divorced
1621,Matric,Married
1622,Intermediate,Married
1623,Master,Single
1624,Bachelor,Married
1625,Bachelor,Married
1626,Bachelor,Widowed
1627,Master,Married
1628,Intermediate,Married
1629,Master,Single
1630,Bachelor,Single
1631,Bachelor,Widowed
1632,Bachelor,Divorced
1633,Bachelor,Single
1634,Bachelor,Married
1635,Master,Married
1636,Master,Married
1637,Intermediate,Married
1638,Master,Divorced
1639,Master,Widowed
1640,PhD,Married
1641,Intermediate,Married
1642,Master,Married
1643,Bachelor,Single
1644,Intermediate,Married
1645,Bachelor,Single
1646,Bachelor,Married
1647,PhD,Married
1648,Bachelor,Single
1649,Master,Married
1650,Master,Single
1651,PhD,Divorced
1652,Bachelor,Married
1653,Master,Married
1654,Master,Married
1655,Master,Single
1656,Bachelor,Single
1657,PhD,Married
1658,Bachelor,Single
1659,Master,Married
1660,Intermediate,Married
1661,Bachelor,Single
1662,Bachelor,Married
1663,Bachelor,Single
1664,Matric,Married
1665,Master,Single
1666,Bachelor,Single
1667,Bachelor,Single
1668,Master,Married
1669,PhD,Married
1670,Bachelor,Married
1671,Bachelor,Single
1672,PhD,Married
1673,Intermediate,Married
1674,Bachelor,Divorced
1675,Bachelor,Single
1676,Master,Married
1677,Matric,Single
1678,Bachelor,Married
1679,Matric,Single
1680,Master,Married
1681,Matric,Single
1682,Matric,Single
1683,Bachelor,Single
1684,Matric,Single
1685,Matric,Divorced
1686,Master,Divorced
1687,Bachelor,Married
1688,PhD,Married
1689,Bachelor,Married
1690,Master,Single
1691,Bachelor,Married
1692,Master,Divorced
1693,Bachelor,Married
1694,Bachelor,Married
1695,Bachelor,Married
1696,Master,Single
1697,PhD,Married
1698,Bachelor,Married
1699,Intermediate,Single
1700,Bachelor,Married
1701,Intermediate,Single
1702,Master,Married
1703,PhD,Married
1704,Bachelor,Married
1705,Bachelor,Divorced
1706,Bachelor,Married
1707,Master,Married
1708,Bachelor,Married
1709,Intermediate,Married
1710,Intermediate,Single
1711,Bachelor,Single
1712,Intermediate,Single
1713,Master,Divorced
1714,Master,Single
1715,Bachelor,Single
1716,PhD,Married
1717,Matric,Married
1718,Bachelor,Single
1719,Bachelor,Single
1720,Master,Married
1721,Bachelor,Single
1722,Bachelor,Single
1723,Master,Married
1724,Bachelor,Married
1725,Matric,Single
1726,Master,Single
1727,Bachelor,Single
1728,PhD,Married
1729,Master,Married
1730,PhD,Divorced
1731,Bachelor,Married
1732,Matric,Married
1733,PhD,Married
1734,PhD,Married
1735,Master,Married
1736,Bachelor,Married
1737,Matric,Married
1738,Intermediate,Widowed
1739,Bachelor,Widowed
1740,Matric,Single
1741,Intermediate,Single
1742,Bachelor,Single
1743,PhD,Single
1744,Matric,Single
1745,Bachelor,Single
1746,Master,Married
1747,Intermediate,Single
1748,Bachelor,Married
1749,Master,Widowed
1750,Master,Single
1751,PhD,Married
1752,Matric,Single
1753,Bachelor,Married
1754,Intermediate,Single
1755,Matric,Single
1756,Bachelor,Single
1757,Intermediate,Single
1758,PhD,Married
1759,PhD,Divorced
1760,Matric,Divorced
1761,Bachelor,Single
1762,Intermediate,Single
1763,Master,Married
1764,Intermediate,Single
1765,Master,Married
1766,Bachelor,Divorced
1767,Bachelor,Single
1768,Bachelor,Married
1769,Bachelor,Single
1770,Master,Married
1771,Matric,Single
1772,Bachelor,Married
1773,Bachelor,Married
1774,Bachelor,Single
1775,Master,Married
1776,Master,Married
1777,Matric,Single
1778,Intermediate,Single
1779,Master,Single
1780,Matric,Single
1781,Matric,Widowed
1782,Bachelor,Divorced
1783,Bachelor,Married
1784,Bachelor,Married
1785,Bachelor,Single
1786,Master,Single
1787,Intermediate,Single
1788,Master,Divorced
1789,Master,Married
1790,Matric,Single
1791,PhD,Married
1792,Master,Widowed
1793,Matric,Widowed
1794,Bachelor,Widowed
1795,Intermediate,Widowed
1796,Bachelor,Single
1797,Master,Divorced
1798,Bachelor,Married
1799,Matric,Single
1800,Bachelor,Divorced
1801,Matric,Single
1802,Bachelor,Married
1803,Intermediate,Single
1804,Intermediate,Married
1805,Intermediate,Divorced
1806,PhD,Widowed
1807,PhD,Married
1808,Matric,Married
1809,Bachelor,Divorced
1810,Matric,Married
1811,Master,Married
1812,Intermediate,Single
1813,Master,Widowed
1814,Bachelor,Married
1815,Matric,Widowed
1816,Master,Married
1817,Bachelor,Single
1818,Intermediate,Married
1819,Bachelor,Married
1820,Bachelor,Married
1821,Master,Married
1822,Intermediate,Married
1823,Master,Married
1824,Bachelor,Divorced
1825,Master,Married
1826,Intermediate,Widowed
1827,Master,Single
1828,Master,Married
1829,Bachelor,Married
1830,Bachelor,Married
1831,PhD,Divorced
1832,Master,Married
1833,Matric,Married
1834,Intermediate,Married
1835,Bachelor,Single
1836,Master,Married
1837,Master,Married
1838,Master,Married
1839,Bachelor,Married
1840,Bachelor,Single
1841,Master,Married
1842,Bachelor,Married
1843,Bachelor,Single
1844,Matric,Single
1845,Intermediate,Married
1846,Bachelor,Single
1847,Bachelor,Married
1848,Master,Married
1849,Matric,Widowed
1850,Master,Married
1851,Intermediate,Divorced
1852,Bachelor,Single
1853,Intermediate,Single
1854,Bachelor,Single
1855,Matric,Married
1856,Bachelor,Widowed
1857,Master,Single
1858,Bachelor,Married
1859,PhD,Single
1860,Bachelor,Divorced
1861,Intermediate,Single
1862,PhD,Married
1863,Master,Married
1864,Intermediate,Single
1865,Intermediate,Divorced
1866,Bachelor,Divorced
1867,Bachelor,Married
1868,Master,Single
1869,Matric,Divorced
1870,Master,Divorced
1871,Intermediate,Single
1872,Bachelor,Single
1873,Master,Single
1874,Matric,Married
1875,Master,Married
1876,Bachelor,Married
1877,Bachelor,Single
1878,Master,Married
1879,Intermediate,Single
1880,Master,Married
1881,Bachelor,Married
1882,Bachelor,Single
1883,Intermediate,Single
1884,Bachelor,Single
1885,Bachelor,Single
1886,Matric,Married
1887,Master,Married
1888,Intermediate,Single
1889,Bachelor,Widowed
1890,Bachelor,Single
1891,Bachelor,Married
1892,Master,Single
1893,Master,Married
1894,Matric,Single
1895,Matric,Single
1896,Bachelor,Married
1897,Matric,Divorced
1898,Master,Married
1899,Bachelor,Married
1900,PhD,Married
1901,Bachelor,Divorced
1902,Bachelor,Married
1903,Master,Widowed
1904,Bachelor,Divorced
1905,Bachelor,Divorced
1906,Matric,Single
1907,Bachelor,Widowed
1908,Intermediate,Single
1909,Master,Widowed
1910,Master,Widowed
1911,Master,Married
1912,Matric,Married
1913,Bachelor,Married
1914,Master,Single
1915,Bachelor,Single
1916,PhD,Married
1917,Master,Single
1918,Matric,Married
1919,Intermediate,Married
1920,Bachelor,Divorced
1921,Bachelor,Single
1922,Master,Widowed
1923,Matric,Single
1924,Bachelor,Married
1925,Master,Married
1926,Master,Married
1927,Master,Divorced
1928,Intermediate,Single
1929,Master,Married
1930,Bachelor,Married
1931,Matric,Single
1932,PhD,Married
1933,Bachelor,Single
1934,Bachelor,Married
1935,Bachelor,Widowed
1936,Matric,Married
1937,Bachelor,Single
1938,Intermediate,Widowed
1939,Master,Married
1940,Master,Single
1941,PhD,Married
1942,Master,Married
1943,Intermediate,Single
1944,Bachelor,Married
1945,Bachelor,Single
1946,Intermediate,Married
1947,Bachelor,Married
1948,Master,Married
1949,Intermediate,Single
1950,Bachelor,Single
1951,Bachelor,Divorced
1952,Bachelor,Divorced
1953,Bachelor,Single
1954,Bachelor,Married
1955,Master,Single
1956,Bachelor,Married
1957,Bachelor,Married
1958,Bachelor,Single
1959,Bachelor,Single
1960,PhD,Married
1961,Bachelor,Single
1962,Bachelor,Married
1963,Matric,Married
1964,Bachelor,Single
1965,Bachelor,Married
1966,Bachelor,Married
1967,Bachelor,Single
1968,Master,Widowed
1969,Master,Married
1970,Intermediate,Single
1971,Bachelor,Single
1972,Bachelor,Single
1973,PhD,Married
1974,Matric,Single
1975,Intermediate,Married
1976,Matric,Divorced
1977,Intermediate,Single
1978,Bachelor,Divorced
1979,Master,Married
1980,Matric,Divorced
1981,Bachelor,Married
1982,Master,Single
1983,Master,Married
1984,Master,Single
1985,Master,Married
1986,Matric,Married
1987,Master,Married
1988,Intermediate,Single
1989,Bachelor,Married
1990,Master,Married
1991,Bachelor,Single
1992,Master,Married
1993,Master,Married
1994,Matric,Married
1995,Bachelor,Married
1996,Bachelor,Married
1997,Matric,Married
1998,Intermediate,Married
1999,Matric,Single
2000,Master,Single
2001,PhD,Married
2002,Bachelor,Single
2003,Master,Single
2004,Master,Married
2005,Bachelor,Single
2006,Bachelor,Single
2007,PhD,Single
2008,Intermediate,Divorced
2009,Master,Married
2010,Intermediate,Single
2011,Master,Married
2012,Bachelor,Divorced
2013,Bachelor,Single
2014,Master,Single
2015,Master,Married
2016,PhD,Widowed
2017,Master,Single
2018,PhD,Married
2019,Master,Widowed
2020,Bachelor,Single
2021,Bachelor,Single
2022,Master,Married
2023,Intermediate,Married
2024,Intermediate,Single
2025,Bachelor,Divorced
2026,Bachelor,Married
2027,PhD,Married
2028,Intermediate,Single
2029,Bachelor,Single
2030,Bachelor,Married
2031,Master,Single
2032,Master,Married
2033,Master,Widowed
2034,Bachelor,Single
2035,Bachelor,Single
2036,Intermediate,Widowed
2037,Bachelor,Single
2038,Master,Married
2039,Bachelor,Married
2040,Bachelor,Single
2041,Intermediate,Single
2042,Matric,Married
2043,Bachelor,Divorced
2044,Bachelor,Single
2045,Intermediate,Married
2046,Master,Married
2047,Master,Married
2048,Master,Married
2049,Bachelor,Single
2050,Intermediate,Single
2051,Intermediate,Single
2052,Master,Married
2053,Master,Single
2054,Matric,Single
2055,Bachelor,Single
2056,PhD,Divorced
2057,Intermediate,Married
2058,Intermediate,Single
2059,Bachelor,Single
2060,Intermediate,Widowed
2061,Bachelor,Single
2062,Bachelor,Single
2063,PhD,Single
2064,Bachelor,Single
2065,PhD,Married
2066,Master,Married
2067,Bachelor,Married
2068,Bachelor,Divorced
2069,Bachelor,Single
2070,Master,Single
2071,Intermediate,Single
2072,Bachelor,Widowed
2073,Intermediate,Married
2074,Bachelor,Single
2075,Bachelor,Single
2076,Bachelor,Single
2077,Bachelor,Widowed
2078,Master,Single
2079,PhD,Married
2080,Master,Single
2081,Bachelor,Married
2082,Master,Married
2083,Master,Married
2084,Intermediate,Single
2085,Intermediate,Single
2086,Master,Married
2087,Master,Married
2088,PhD,Married
2089,Bachelor,Married
2090,Master,Married
2091,Bachelor,Divorced
2092,Master,Single
2093,Matric,Widowed
2094,Bachelor,Single
2095,Master,Single
2096,PhD,Married
2097,Master,Married
2098,Matric,Single
2099,Bachelor,Married
2100,Master,Single
2101,PhD,Divorced
2102,Matric,Divorced
2103,Bachelor,Married
2104,Bachelor,Married
2105,Bachelor,Divorced
2106,Master,Married
2107,Master,Single
2108,Bachelor,Single
2109,Intermediate,Divorced
2110,Matric,Divorced
2111,Bachelor,Single
2112,Intermediate,Single
2113,Bachelor,Single
2114,Bachelor,Married
2115,Bachelor,Married
2116,Matric,Single
2117,Matric,Single
2118,Intermediate,Single
2119,Bachelor,Single
2120,Master,Married
2121,Bachelor,Single
2122,Bachelor,Divorced
2123,Intermediate,Married
2124,Matric,Widowed
2125,Bachelor,Divorced
2126,Intermediate,Single
2127,Bachelor,Married
2128,Bachelor,Married
2129,Intermediate,Widowed
2130,Matric,Single
2131,Master,Single
2132,Bachelor,Married
2133,Bachelor,Married
2134,PhD,Divorced
2135,Intermediate,Single
2136,PhD,Married
2137,Bachelor,Married
2138,Master,Divorced
2139,Intermediate,Married
2140,Intermediate,Divorced
2141,Bachelor,Married
2142,PhD,Divorced
2143,Bachelor,Divorced
2144,PhD,Single
2145,Bachelor,Single
2146,PhD,Single
2147,Master,Single
2148,Bachelor,Single
2149,Bachelor,Single
2150,Bachelor,Widowed
2151,Intermediate,Widowed
2152,Intermediate,Married
2153,Bachelor,Single
2154,Master,Married
2155,Intermediate,Single
2156,Intermediate,Married
2157,Matric,Married
2158,Master,Single
2159,Master,Married
2160,Master,Married
2161,Intermediate,Divorced
2162,PhD,Married
2163,Master,Married
2164,Matric,Married
2165,Bachelor,Single
2166,Intermediate,Married
2167,Master,Married
2168,Bachelor,Married
2169,Bachelor,Divorced
2170,PhD,Single
2171,Bachelor,Single
2172,Bachelor,Married
2173,Intermediate,Divorced
2174,PhD,Married
2175,PhD,Divorced
2176,Bachelor,Married
2177,Intermediate,Divorced
2178,Bachelor,Married
2179,Master,Married
2180,Bachelor,Single
2181,PhD,Married
2182,Master,Single
2183,Bachelor,Married
2184,PhD,Married
2185,Master,Married
2186,Master,Single
2187,Master,Single
2188,Intermediate,Married
2189,Bachelor,Married
2190,Bachelor,Married
2191,Matric,Married
2192,Intermediate,Single
2193,Master,Married
2194,Bachelor,Single
2195,Bachelor,Single
2196,Master,Married
2197,Bachelor,Married
2198,Master,Widowed
2199,Bachelor,Single
2200,Bachelor,Single
2201,Master,Single
2202,Master,Married
2203,Master,Married
2204,Matric,Single
2205,Intermediate,Single
2206,Bachelor,Single
2207,Bachelor,Divorced
2208,Intermediate,Single
2209,Matric,Single
2210,Bachelor,Married
2211,Bachelor,Widowed
2212,Intermediate,Married
2213,Master,Single
2214,Bachelor,Married
2215,Master,Divorced
2216,Bachelor,Married
2217,Master,Divorced
2218,Bachelor,Married
2219,Bachelor,Single
2220,Intermediate,Divorced
2221,PhD,Widowed
2222,Master,Single
2223,Master,Single
2224,Matric,Single
2225,Bachelor,Married
2226,Matric,Divorced
2227,Bachelor,Married
2228,Bachelor,Married
2229,Master,Divorced
2230,PhD,Widowed
2231,Intermediate,Single
2232,Bachelor,Married
2233,Master,Single
2234,Bachelor,Widowed
2235,Intermediate,Married
2236,Bachelor,Single
2237,Master,Single
2238,Bachelor,Single
2239,Matric,Single
2240,Intermediate,Single
2241,Bachelor,Single
2242,Intermediate,Married
2243,Bachelor,Married
2244,Intermediate,Widowed
2245,Master,Married
2246,Master,Single
2247,Bachelor,Widowed
2248,Bachelor,Widowed
2249,Bachelor,Married
2250,Matric,Single
2251,Master,Divorced
2252,Bachelor,Single
2253,PhD,Married
2254,Intermediate,Married
2255,Bachelor,Married
2256,Master,Single
2257,Master,Married
2258,Bachelor,Single
2259,Master,Married
2260,Bachelor,Single
2261,PhD,Divorced
2262,Bachelor,Single
2263,Bachelor,Widowed
2264,Bachelor,Married
2265,Intermediate,Married
2266,Intermediate,Single
2267,Matric,Married
2268,Master,Married
2269,Master,Married
2270,Intermediate,Divorced
2271,Master,Married
2272,Master,Married
2273,Matric,Single
2274,PhD,Married
2275,Bachelor,Divorced
2276,Master,Single
2277,PhD,Married
2278,Intermediate,Single
2279,Master,Married
2280,PhD,Divorced
2281,Intermediate,Single
2282,Master,Married
2283,Master,Married
2284,PhD,Single
2285,Bachelor,Single
2286,PhD,Divorced
2287,PhD,Married
2288,Intermediate,Married
2289,Intermediate,Divorced
2290,Master,Married
2291,Matric,Married
2292,Bachelor,Single
2293,PhD,Married
2294,Intermediate,Single
2295,Matric,Single
2296,PhD,Married
2297,Bachelor,Single
2298,Master,Married
2299,Bachelor,Single
2300,Master,Single
2301,Intermediate,Married
2302,Bachelor,Married
2303,Bachelor,Married
2304,Master,Widowed
2305,Bachelor,Single
2306,PhD,Married
2307,PhD,Divorced
2308,Master,Single
2309,PhD,Divorced
2310,Intermediate,Married
2311,Intermediate,Married
2312,Master,Married
2313,Intermediate,Married
2314,Bachelor,Married
2315,Master,Married
2316,Master,Married
2317,Bachelor,Divorced
2318,Bachelor,Married
2319,Bachelor,Single
2320,Bachelor,Married
2321,Master,Married
2322,Bachelor,Single
2323,Bachelor,Married
2324,Bachelor,Married
2325,Matric,Widowed
2326,Master,Single
2327,Bachelor,Married
2328,Intermediate,Widowed
2329,Intermediate,Single
2330,Matric,Married
2331,Bachelor,Married
2332,Bachelor,Married
2333,Master,Married
2334,Bachelor,Married
2335,Master,Single
2336,Bachelor,Married
2337,Master,Married
2338,Bachelor,Widowed
2339,Matric,Single
2340,PhD,Married
2341,Matric,Single
2342,Bachelor,Married
2343,Bachelor,Single
2344,Bachelor,Married
2345,Master,Married
2346,Master,Single
2347,Intermediate,Married
2348,Intermediate,Married
2349,PhD,Divorced
2350,Bachelor,Divorced
2351,Bachelor,Divorced
2352,Bachelor,Married
2353,Intermediate,Married
2354,Intermediate,Divorced
2355,Intermediate,Married
2356,Bachelor,Single
2357,Bachelor,Married
2358,PhD,Married
2359,Intermediate,Single
2360,Master,Married
2361,Bachelor,Married
2362,Intermediate,Single
2363,Bachelor,Married
2364,Master,Married
2365,PhD,Single
2366,Bachelor,Married
2367,Master,Married
2368,Bachelor,Widowed
2369,Bachelor,Single
2370,Intermediate,Married
2371,Intermediate,Widowed
2372,Intermediate,Single
2373,Intermediate,Single
2374,Bachelor,Married
2375,Bachelor,Married
2376,Bachelor,Married
2377,Matric,Married
2378,Matric,Married
2379,Bachelor,Single
2380,Bachelor,Single
2381,Bachelor,Married
2382,Matric,Widowed
2383,Bachelor,Married
