ID,Job_Type,Job_Satisfaction
994,Full-Time,Satisfied
995,Part-Time,Neutral
996,Contract,Satisfied
997,Full-Time,Very Satisfied
998,Freelance,Neutral
999,Freelance,Neutral
1000,Full-Time,Satisfied
1001,Freelance,Neutral
1002,Full-Time,Very Satisfied
1003,Full-Time,Satisfied
1004,Freelance,Satisfied
1005,Full-Time,Satisfied
1006,Contract,Satisfied
1007,Part-Time,Dissatisfied
1008,Contract,Neutral
1009,Freelance,Very Satisfied
1010,Contract,Satisfied
1011,Part-Time,Very Dissatisfied
1012,Full-Time,Neutral
1013,Internship,Very Satisfied
1014,Part-Time,Neutral
1015,Contract,Neutral
1016,Full-Time,Very Satisfied
1017,Internship,Satisfied
1018,Full-Time,Dissatisfied
1019,Part-Time,Dissatisfied
1020,Full-Time,Dissatisfied
1021,Full-Time,Satisfied
1022,Full-Time,Very Satisfied
1023,Full-Time,Neutral
1024,Full-Time,Satisfied
1025,Part-Time,Very Satisfied
1026,Part-Time,Neutral
1027,Full-Time,Very Satisfied
1028,Freelance,Satisfied
1029,Part-Time,Neutral
1030,Internship,Dissatisfied
1031,Freelance,Neutral
1032,Freelance,Very Dissatisfied
1033,Contract,Neutral
1034,Freelance,Satisfied
1035,Internship,Dissatisfied
1036,Part-Time,Satisfied
1037,Full-Time,Very Satisfied
1038,Internship,Neutral
1039,Freelance,Neutral
1040,Contract,Neutral
1041,Full-Time,Very Satisfied
1042,Full-Time,Satisfied
1043,Part-Time,Neutral
1044,Full-Time,Satisfied
1045,Full-Time,Dissatisfied
1046,Full-Time,Very Satisfied
1047,Freelance,Dissatisfied
1048,Full-Time,Very Satisfied
1049,Full-Time,Very Satisfied
1050,Freelance,Neutral
1051,Freelance,Very Satisfied
1052,Internship,Dissatisfied
1053,Freelance,Neutral
1054,Full-Time,Neutral
1055,Full-Time,Very Satisfied
1056,Full-Time,Very Satisfied
1057,Internship,Satisfied
1058,Internship,Neutral
1059,Full-Time,Satisfied
1060,Freelance,Satisfied
1061,Part-Time,Satisfied
1062,Part-Time,Very Dissatisfied
1063,Full-Time,Neutral
1064,Full-Time,Very Satisfied
1065,Contract,Satisfied
1066,Internship,Dissatisfied
1067,Part-Time,Very Dissatisfied
1068,Full-Time,Satisfied
1069,Full-Time,Neutral
1070,Contract,Satisfied
1071,Contract,Very Dissatisfied
1072,Full-Time,Satisfied
1073,Contract,Very Satisfied
1074,Full-Time,Satisfied
1075,Full-Time,Very Dissatisfied
1076,Part-Time,Dissatisfied
1077,Full-Time,Very Satisfied
1078,Freelance,Satisfied
1079,Internship,Dissatisfied
1080,Contract,Satisfied
1081,Full-Time,Dissatisfied
1082,Full-Time,Satisfied
1083,Full-Time,Very Satisfied
1084,Contract,Neutral
1085,Full-Time,Neutral
1086,Part-Time,Neutral
1087,Part-Time,Very Dissatisfied
1088,Full-Time,Very Satisfied
1089,Full-Time,Very Satisfied
1090,Part-Time,Neutral
1091,Full-Time,Very Satisfied
1092,Part-Time,Satisfied
1093,Full-Time,Neutral
1094,Full-Time,Very Satisfied
1095,Full-Time,Satisfied
1096,Full-Time,Dissatisfied
1097,Freelance,Satisfied
1098,Freelance,Neutral
1099,Contract,Satisfied
1100,Full-Time,Very Satisfied
1101,Freelance,Very Satisfied
1102,Full-Time,Satisfied
1103,Freelance,Very Satisfied
1104,Part-Time,Satisfied
1105,Freelance,Neutral
1106,Freelance,Satisfied
1107,Part-Time,Neutral
1108,Part-Time,Neutral
1109,Full-Time,Neutral
1110,Full-Time,Neutral
1111,Contract,Very Satisfied
1112,Contract,Dissatisfied
1113,Full-Time,Very Satisfied
1114,Contract,Satisfied
1115,Freelance,Very Dissatisfied
1116,Contract,Neutral
1117,Internship,Very Satisfied
1118,Full-Time,Very Satisfied
1119,Full-Time,Very Satisfied
1120,Contract,Dissatisfied
1121,Part-Time,Neutral
1122,Full-Time,Dissatisfied
1123,Internship,Satisfied
1124,Full-Time,Neutral
1125,Full-Time,Very Satisfied
1126,Contract,Very Dissatisfied
1127,Full-Time,Very Satisfied
1128,Full-Time,Very Satisfied
1129,Contract,Dissatisfied
1130,Full-Time,Satisfied
1131,Full-Time,Very Satisfied
1132,Full-Time,Very Satisfied
1133,Full-Time,Satisfied
1134,Full-Time,Very Satisfied
1135,Full-Time,Very Satisfied
1136,Part-Time,Neutral
1137,Internship,Neutral
1138,Full-Time,Neutral
1139,Internship,Very Satisfied
1140,Full-Time,Very Satisfied
1141,Full-Time,Satisfied
1142,Full-Time,Satisfied
1143,Contract,Dissatisfied
1144,Freelance,Very Dissatisfied
1145,Full-Time,Very Dissatisfied
1146,Freelance,Neutral
1147,Full-Time,Satisfied
1148,Contract,Neutral
1149,Contract,Very Satisfied
1150,Contract,Very Satisfied
1151,Internship,Satisfied
1152,Contract,Satisfied
1153,Full-Time,Very Satisfied
1154,Freelance,Satisfied
1155,Full-Time,Neutral
1156,Freelance,Very Satisfied
1157,Contract,Very Satisfied
1158,Full-Time,Very Satisfied
1159,Internship,Very Dissatisfied
1160,Internship,Very Satisfied
1161,Full-Time,Satisfied
1162,Freelance,Neutral
1163,Freelance,Dissatisfied
1164,Part-Time,Satisfied
1165,Part-Time,Satisfied
1166,Full-Time,Satisfied
1167,Part-Time,Dissatisfied
1168,Internship,Very Dissatisfied
1169,Full-Time,Neutral
1170,Part-Time,Very Dissatisfied
1171,Contract,Very Satisfied
1172,Part-Time,Satisfied
1173,Part-Time,Very Dissatisfied
1174,Freelance,Dissatisfied
1175,Full-Time,Very Satisfied
1176,Full-Time,Satisfied
1177,Full-Time,Very Satisfied
1178,Internship,Satisfied
1179,Full-Time,Satisfied
1180,Contract,Satisfied
1181,Part-Time,Very Dissatisfied
1182,Contract,Very Satisfied
1183,Part-Time,Dissatisfied
1184,Full-Time,Neutral
1185,Full-Time,Satisfied
1186,Contract,Satisfied
1187,Full-Time,Neutral
1188,Contract,Very Dissatisfied
1189,Full-Time,Very Dissatisfied
1190,Contract,Satisfied
1191,Freelance,Satisfied
1192,Full-Time,Satisfied
1193,Full-Time,Very Satisfied
1194,Internship,Satisfied
1195,Freelance,Very Satisfied
1196,Part-Time,Neutral
1197,Freelance,Satisfied
1198,Part-Time,Neutral
1199,Internship,Dissatisfied
1200,Full-Time,Satisfied
1201,Full-Time,Satisfied
1202,Full-Time,Very Satisfied
1203,Freelance,Very Satisfied
1204,Freelance,Very Satisfied
1205,Full-Time,Dissatisfied
1206,Part-Time,Dissatisfied
1207,Part-Time,Neutral
1208,Full-Time,Very Dissatisfied
1209,Full-Time,Satisfied
1210,Full-Time,Very Satisfied
1211,Part-Time,Very Satisfied
1212,Freelance,Very Satisfied
1213,Contract,Satisfied
1214,Full-Time,Satisfied
1215,Full-Time,Neutral
1216,Freelance,Dissatisfied
1217,Freelance,Very Satisfied
1218,Part-Time,Dissatisfied
1219,Full-Time,Satisfied
1220,Full-Time,Satisfied
1221,Full-Time,Satisfied
1222,Full-Time,Neutral
1223,Full-Time,Dissatisfied
1224,Full-Time,Satisfied
1225,Full-Time,Satisfied
1226,Full-Time,Satisfied
1227,Full-Time,Dissatisfied
1228,Full-Time,Neutral
1229,Freelance,Dissatisfied
1230,Full-Time,Very Satisfied
1231,Contract,Very Satisfied
1232,Contract,Satisfied
1233,Contract,Satisfied
1234,Freelance,Dissatisfied
1235,Full-Time,Very Satisfied
1236,Internship,Neutral
1237,Part-Time,Very Satisfied
1238,Contract,Dissatisfied
1239,Internship,Very Dissatisfied
1240,Contract,Neutral
1241,Full-Time,Satisfied
1242,Freelance,Satisfied
1243,Full-Time,Very Satisfied
1244,Full-Time,Satisfied
1245,Full-Time,Satisfied
1246,Contract,Very Satisfied
1247,Internship,Neutral
1248,Contract,Satisfied
1249,Freelance,Dissatisfied
1250,Internship,Neutral
1251,Full-Time,Satisfied
1252,Full-Time,Dissatisfied
1253,Full-Time,Dissatisfied
1254,Contract,Very Satisfied
1255,Full-Time,Satisfied
1256,Part-Time,Very Satisfied
1257,Full-Time,Dissatisfied
1258,Full-Time,Dissatisfied
1259,Part-Time,Very Dissatisfied
1260,Internship,Dissatisfied
1261,Full-Time,Very Satisfied
1262,Freelance,Neutral
1263,Contract,Neutral
1264,Contract,Neutral
1265,Part-Time,Very Dissatisfied
1266,Freelance,Satisfied
1267,Full-Time,Satisfied
1268,Full-Time,Very Satisfied
1269,Contract,Very Satisfied
1270,Part-Time,Satisfied
1271,Full-Time,Dissatisfied
1272,Full-Time,Satisfied
1273,Full-Time,Very Satisfied
1274,Contract,Very Dissatisfied
1275,Contract,Neutral
1276,Full-Time,Satisfied
1277,Part-Time,Satisfied
1278,Full-Time,Satisfied
1279,Internship,Satisfied
1280,Freelance,Very Satisfied
1281,Internship,Very Satisfied
1282,Contract,Very Satisfied
1283,Full-Time,Very Satisfied
1284,Full-Time,Satisfied
1285,Internship,Very Dissatisfied
1286,Contract,Very Dissatisfied
1287,Full-Time,Satisfied
1288,Full-Time,Neutral
1289,Full-Time,Satisfied
1290,Freelance,Very Satisfied
1291,Freelance,Neutral
1292,Contract,Satisfied
1293,Internship,Neutral
1294,Freelance,Satisfied
1295,Full-Time,Satisfied
1296,Internship,Dissatisfied
1297,Part-Time,Neutral
1298,Full-Time,Dissatisfied
1299,Full-Time,Neutral
1300,Contract,Satisfied
1301,Full-Time,Dissatisfied
1302,Freelance,Satisfied
1303,Full-Time,Very Satisfied
1304,Full-Time,Dissatisfied
1305,Full-Time,Satisfied
1306,Full-Time,Satisfied
1307,Part-Time,Satisfied
1308,Contract,Neutral
1309,Contract,Very Satisfied
1310,Freelance,Very Satisfied
1311,Freelance,Satisfied
1312,Full-Time,Very Satisfied
1313,Freelance,Very Dissatisfied
1314,Full-Time,Dissatisfied
1315,Internship,Neutral
1316,Freelance,Dissatisfied
1317,Full-Time,Satisfied
1318,Freelance,Satisfied
1319,Full-Time,Neutral
1320,Full-Time,Satisfied
1321,Full-Time,Neutral
1322,Full-Time,Dissatisfied
1323,Freelance,Satisfied
1324,Full-Time,Satisfied
1325,Contract,Very Dissatisfied
1326,Full-Time,Very Satisfied
1327,Full-Time,Neutral
1328,Part-Time,Very Satisfied
1329,Contract,Dissatisfied
1330,Freelance,Very Satisfied
1331,Full-Time,Dissatisfied
1332,Part-Time,Satisfied
1333,Internship,Satisfied
1334,Internship,Satisfied
1335,Full-Time,Satisfied
1336,Full-Time,Neutral
1337,Freelance,Satisfied
1338,Full-Time,Neutral
1339,Part-Time,Satisfied
1340,Full-Time,Very Dissatisfied
1341,Freelance,Satisfied
1342,Freelance,Satisfied
1343,Part-Time,Neutral
1344,Full-Time,Very Satisfied
1345,Full-Time,Very Satisfied
1346,Full-Time,Very Satisfied
1347,Part-Time,Neutral
1348,Part-Time,Dissatisfied
1349,Internship,Satisfied
1350,Freelance,Neutral
1351,Full-Time,Satisfied
1352,Full-Time,Satisfied
1353,Full-Time,Dissatisfied
1354,Freelance,Neutral
1355,Full-Time,Dissatisfied
1356,Freelance,Very Satisfied
1357,Part-Time,Neutral
1358,Freelance,Satisfied
1359,Full-Time,Neutral
1360,Part-Time,Very Satisfied
1361,Contract,Satisfied
1362,Internship,Satisfied
1363,Internship,Very Satisfied
1364,Full-Time,Neutral
1365,Part-Time,Very Satisfied
1366,Full-Time,Dissatisfied
1367,Full-Time,Very Satisfied
1368,Part-Time,Dissatisfied
1369,Contract,Neutral
1370,Freelance,Dissatisfied
1371,Full-Time,Very Satisfied
1372,Full-Time,Neutral
1373,Full-Time,Satisfied
1374,Full-Time,Satisfied
1375,Internship,Satisfied
1376,Freelance,Satisfied
1377,Full-Time,Neutral
1378,Full-Time,Satisfied
1379,Internship,Dissatisfied
1380,Internship,Very Satisfied
1381,Internship,Neutral
1382,Full-Time,Satisfied
1383,Full-Time,Very Satisfied
1384,Contract,Dissatisfied
1385,Part-Time,Satisfied
1386,Freelance,Very Satisfied
1387,Contract,Dissatisfied
1388,Internship,Very Dissatisfied
1389,Full-Time,Satisfied
1390,Full-Time,Satisfied
1391,Freelance,Satisfied
1392,Full-Time,Satisfied
1393,Internship,Very Satisfied
1394,Freelance,Neutral
1395,Full-Time,Neutral
1396,Freelance,Neutral
1397,Part-Time,Very Satisfied
1398,Full-Time,Satisfied
1399,Part-Time,Satisfied
1400,Full-Time,Very Satisfied
1401,Internship,Dissatisfied
1402,Full-Time,Neutral
1403,Part-Time,Very Satisfied
1404,Contract,Neutral
1405,Full-Time,Dissatisfied
1406,Freelance,Satisfied
1407,Internship,Satisfied
1408,Contract,Very Dissatisfied
1409,Internship,Neutral
1410,Contract,Very Satisfied
1411,Full-Time,Satisfied
1412,Freelance,Neutral
1413,Contract,Very Satisfied
1414,Freelance,Satisfied
1415,Full-Time,Very Satisfied
1416,Full-Time,Satisfied
1417,Freelance,Very Satisfied
1418,Contract,Neutral
1419,Full-Time,Very Dissatisfied
1420,Internship,Neutral
1421,Full-Time,Neutral
1422,Full-Time,Satisfied
1423,Part-Time,Satisfied
1424,Contract,Satisfied
1425,Full-Time,Very Satisfied
1426,Full-Time,Satisfied
1427,Part-Time,Satisfied
1428,Contract,Neutral
1429,Freelance,Satisfied
1430,Part-Time,Neutral
1431,Full-Time,Neutral
1432,Full-Time,Satisfied
1433,Full-Time,Satisfied
1434,Contract,Very Satisfied
1435,Contract,Neutral
1436,Full-Time,Neutral
1437,Freelance,Very Satisfied
1438,Full-Time,Satisfied
1439,Freelance,Dissatisfied
1440,Full-Time,Very Satisfied
1441,Part-Time,Neutral
1442,Full-Time,Dissatisfied
1443,Full-Time,Satisfied
1444,Full-Time,Neutral
1445,Internship,Dissatisfied
1446,Internship,Very Satisfied
1447,Internship,Satisfied
1448,Contract,Satisfied
1449,Full-Time,Satisfied
1450,Full-Time,Satisfied
1451,Freelance,Satisfied
1452,Contract,Neutral
1453,Full-Time,Very Satisfied
1454,Full-Time,Very Satisfied
1455,Freelance,Very Satisfied
1456,Full-Time,Satisfied
1457,Full-Time,Neutral
1458,Full-Time,Satisfied
1459,Part-Time,Very Satisfied
1460,Freelance,Satisfied
1461,Full-Time,Satisfied
1462,Full-Time,Very Dissatisfied
1463,Freelance,Satisfied
1464,Full-Time,Very Satisfied
1465,Full-Time,Satisfied
1466,Full-Time,Satisfied
1467,Contract,Neutral
1468,Full-Time,Very Satisfied
1469,Freelance,Satisfied
1470,Contract,Neutral
1471,Part-Time,Dissatisfied
1472,Full-Time,Dissatisfied
1473,Freelance,Satisfied
1474,Full-Time,Satisfied
1475,Contract,Neutral
1476,Freelance,Neutral
1477,Full-Time,Neutral
1478,Full-Time,Very Satisfied
1479,Full-Time,Very Satisfied
1480,Full-Time,Satisfied
1481,Full-Time,Dissatisfied
1482,Full-Time,Satisfied
1483,Internship,Dissatisfied
1484,Full-Time,Neutral
1485,Contract,Neutral
1486,Contract,Very Dissatisfied
1487,Full-Time,Satisfied
1488,Freelance,Very Dissatisfied
1489,Internship,Neutral
1490,Freelance,Very Satisfied
1491,Full-Time,Very Satisfied
1492,Full-Time,Satisfied
1493,Full-Time,Satisfied
1494,Contract,Neutral
1495,Part-Time,Dissatisfied
1496,Full-Time,Dissatisfied
1497,Full-Time,Very Satisfied
1498,Full-Time,Very Satisfied
1499,Contract,Satisfied
1500,Contract,Very Satisfied
1501,Contract,Neutral
1502,Full-Time,Very Satisfied
1503,Part-Time,Very Satisfied
1504,Part-Time,Dissatisfied
1505,Full-Time,Satisfied
1506,Part-Time,Dissatisfied
1507,Part-Time,Satisfied
1508,Full-Time,Satisfied
1509,Contract,Neutral
1510,Full-Time,Very Satisfied
1511,Internship,Very Dissatisfied
1512,Full-Time,Neutral
1513,Full-Time,Satisfied
1514,Part-Time,Dissatisfied
1515,Freelance,Neutral
1516,Part-Time,Satisfied
1517,Contract,Neutral
1518,Contract,Very Satisfied
1519,Internship,Satisfied
1520,Full-Time,Satisfied
1521,Full-Time,Neutral
1522,Full-Time,Neutral
1523,Part-Time,Dissatisfied
1524,Full-Time,Satisfied
1525,Contract,Neutral
1526,Contract,Neutral
1527,Full-Time,Satisfied
1528,Part-Time,Neutral
1529,Contract,Satisfied
1530,Full-Time,Very Satisfied
1531,Freelance,Satisfied
1532,Full-Time,Very Satisfied
1533,Contract,Satisfied
1534,Full-Time,Very Dissatisfied
1535,Full-Time,Satisfied
1536,Contract,Very Satisfied
1537,Part-Time,Very Satisfied
1538,Full-Time,Satisfied
1539,Freelance,Satisfied
1540,Part-Time,Satisfied
1541,Full-Time,Neutral
1542,Full-Time,Neutral
1543,Contract,Neutral
1544,Full-Time,Neutral
1545,Freelance,Satisfied
1546,Contract,Dissatisfied
1547,Full-Time,Satisfied
1548,Full-Time,Neutral
1549,Freelance,Satisfied
1550,Full-Time,Satisfied
1551,Freelance,Satisfied
1552,Full-Time,Very Satisfied
1553,Full-Time,Very Satisfied
1554,Internship,Satisfied
1555,Full-Time,Satisfied
1556,Full-Time,Satisfied
1557,Full-Time,Very Satisfied
1558,Freelance,Satisfied
1559,Full-Time,Satisfied
1560,Internship,Very Dissatisfied
1561,Internship,Dissatisfied
1562,Contract,Satisfied
1563,Contract,Dissatisfied
1564,Full-Time,Very Dissatisfied
1565,Full-Time,Satisfied
1566,Contract,Satisfied
1567,Internship,Dissatisfied
1568,Full-Time,Satisfied
1569,Full-Time,Very Satisfied
1570,Freelance,Very Satisfied
1571,Full-Time,Neutral
1572,Internship,Satisfied
1573,Full-Time,Very Dissatisfied
1574,Full-Time,Very Satisfied
1575,Full-Time,Neutral
1576,Internship,Dissatisfied
1577,Full-Time,Very Dissatisfied
1578,Part-Time,Very Dissatisfied
1579,Part-Time,Satisfied
1580,Full-Time,Satisfied
1581,Part-Time,Neutral
1582,Full-Time,Satisfied
1583,Freelance,Satisfied
1584,Full-Time,Neutral
1585,Part-Time,Very Dissatisfied
1586,Contract,Neutral
1587,Full-Time,Satisfied
1588,Full-Time,Satisfied
1589,Internship,Satisfied
1590,Full-Time,Neutral
1591,Full-Time,Very Satisfied
1592,Full-Time,Satisfied
1593,Full-Time,Dissatisfied
1594,Internship,Very Satisfied
1595,Part-Time,Neutral
1596,Full-Time,Very Satisfied
1597,Freelance,Neutral
1598,Full-Time,Very Satisfied
1599,Full-Time,Dissatisfied
1600,Contract,Satisfied
1601,Full-Time,Dissatisfied
1602,Full-Time,Satisfied
1603,Full-Time,Dissatisfied
1604,Internship,Dissatisfied
1605,Full-Time,Satisfied
1606,Full-Time,Satisfied
1607,Full-Time,Satisfied
1608,Full-Time,Neutral
1609,Full-Time,Very Satisfied
1610,Full-Time,Neutral
1611,Full-Time,Neutral
1612,Freelance,Very Satisfied
1613,Full-Time,Satisfied
1614,Full-Time,Very Satisfied
1615,Freelance,Satisfied
1616,Full-Time,Satisfied
1617,Full-Time,Very Dissatisfied
1618,Full-Time,Neutral
1619,Internship,Neutral
1620,Full-Time,Neutral
1621,Full-Time,Satisfied
1622,Full-Time,Very Satisfied
1623,Full-Time,Very Satisfied
1624,Internship,Satisfied
1625,Contract,Dissatisfied
1626,Internship,Neutral
1627,Part-Time,Satisfied
1628,Internship,Satisfied
1629,Contract,Very Satisfied
1630,Part-Time,Very Dissatisfied
1631,Full-Time,Very Satisfied
1632,Full-Time,Dissatisfied
1633,Freelance,Dissatisfied
1634,Contract,Neutral
1635,Contract,Neutral
1636,Freelance,Very Satisfied
1637,Full-Time,Satisfied
1638,Internship,Very Satisfied
1639,Full-Time,Neutral
1640,Full-Time,Satisfied
1641,Contract,Satisfied
1642,Part-Time,Neutral
1643,Part-Time,Very Satisfied
1644,Contract,Very Satisfied
1645,Full-Time,Satisfied
1646,Full-Time,Satisfied
1647,Full-Time,Satisfied
1648,Internship,Satisfied
1649,Full-Time,Very Satisfied
1650,Internship,Neutral
1651,Full-Time,Neutral
1652,Contract,Satisfied
1653,Freelance,Satisfied
1654,Full-Time,Satisfied
1655,Part-Time,Satisfied
1656,Full-Time,Satisfied
1657,Full-Time,Neutral
1658,Full-Time,Dissatisfied
1659,Full-Time,Satisfied
1660,Full-Time,Dissatisfied
1661,Internship,Very Dissatisfied
1662,Full-Time,Satisfied
1663,Full-Time,Satisfied
1664,Full-Time,Satisfied
1665,Part-Time,Neutral
1666,Full-Time,Dissatisfied
1667,Internship,Dissatisfied
1668,Freelance,Very Dissatisfied
1669,Full-Time,Satisfied
1670,Internship,Neutral
1671,Full-Time,Neutral
1672,Full-Time,Satisfied
1673,Full-Time,Satisfied
1674,Full-Time,Satisfied
1675,Contract,Neutral
1676,Full-Time,Satisfied
1677,Contract,Very Satisfied
1678,Full-Time,Satisfied
1679,Part-Time,Very Dissatisfied
1680,Internship,Satisfied
1681,Contract,Neutral
1682,Full-Time,Very Satisfied
1683,Internship,Satisfied
1684,Full-Time,Neutral
1685,Part-Time,Very Satisfied
1686,Contract,Neutral
1687,Freelance,Very Satisfied
1688,Internship,Neutral
1689,Internship,Neutral
1690,Part-Time,Very Satisfied
1691,Freelance,Very Satisfied
1692,Part-Time,Neutral
1693,Internship,Very Dissatisfied
1694,Full-Time,Neutral
1695,Full-Time,Satisfied
1696,Full-Time,Satisfied
1697,Internship,Very Dissatisfied
1698,Part-Time,Very Dissatisfied
1699,Freelance,Very Satisfied
1700,Part-Time,Very Satisfied
1701,Internship,Dissatisfied
1702,Full-Time,Satisfied
1703,Full-Time,Satisfied
1704,Full-Time,Satisfied
1705,Full-Time,Satisfied
1706,Full-Time,Neutral
1707,Full-Time,Satisfied
1708,Full-Time,Very Satisfied
1709,Part-Time,Satisfied
1710,Full-Time,Satisfied
1711,Freelance,Very Dissatisfied
1712,Internship,Satisfied
1713,Full-Time,Neutral
1714,Contract,Dissatisfied
1715,Contract,Dissatisfied
1716,Full-Time,Satisfied
1717,Freelance,Dissatisfied
1718,Contract,Satisfied
1719,Full-Time,Neutral
1720,Contract,Neutral
1721,Contract,Very Satisfied
1722,Part-Time,Very Dissatisfied
1723,Full-Time,Satisfied
1724,Full-Time,Dissatisfied
1725,Part-Time,Neutral
1726,Contract,Very Satisfied
1727,Internship,Neutral
1728,Part-Time,Neutral
1729,Contract,Very Satisfied
1730,Internship,Satisfied
1731,Part-Time,Satisfied
1732,Contract,Very Satisfied
1733,Contract,Neutral
1734,Full-Time,Satisfied
1735,Internship,Dissatisfied
1736,Internship,Dissatisfied
1737,Full-Time,Satisfied
1738,Freelance,Very Dissatisfied
1739,Full-Time,Satisfied
1740,Contract,Dissatisfied
1741,Part-Time,Neutral
1742,Contract,Very Satisfied
1743,Full-Time,Satisfied
1744,Part-Time,Very Satisfied
1745,Part-Time,Very Satisfied
1746,Full-Time,Satisfied
1747,Part-Time,Neutral
1748,Full-Time,Satisfied
1749,Full-Time,Neutral
1750,Part-Time,Neutral
1751,Full-Time,Satisfied
1752,Freelance,Satisfied
1753,Full-Time,Satisfied
1754,Part-Time,Dissatisfied
1755,Full-Time,Satisfied
1756,Internship,Very Dissatisfied
1757,Full-Time,Very Satisfied
1758,Internship,Dissatisfied
1759,Full-Time,Very Satisfied
1760,Full-Time,Satisfied
1761,Freelance,Very Satisfied
1762,Internship,Neutral
1763,Freelance,Satisfied
1764,Full-Time,Very Satisfied
1765,Full-Time,Satisfied
1766,Full-Time,Neutral
1767,Freelance,Satisfied
1768,Part-Time,Very Dissatisfied
1769,Full-Time,Neutral
1770,Freelance,Satisfied
1771,Full-Time,Satisfied
1772,Contract,Satisfied
1773,Full-Time,Satisfied
1774,Full-Time,Neutral
1775,Full-Time,Satisfied
1776,Full-Time,Neutral
1777,Part-Time,Very Satisfied
1778,Part-Time,Satisfied
1779,Freelance,Very Satisfied
1780,Full-Time,Satisfied
1781,Full-Time,Neutral
1782,Contract,Neutral
1783,Freelance,Very Satisfied
1784,Contract,Very Dissatisfied
1785,Full-Time,Satisfied
1786,Freelance,Very Satisfied
1787,Internship,Satisfied
1788,Full-Time,Dissatisfied
1789,Full-Time,Neutral
1790,Full-Time,Neutral
1791,Part-Time,Dissatisfied
1792,Full-Time,Satisfied
1793,Full-Time,Satisfied
1794,Full-Time,Dissatisfied
1795,Part-Time,Very Satisfied
1796,Freelance,Satisfied
1797,Contract,Satisfied
1798,Internship,Satisfied
1799,Part-Time,Neutral
1800,Full-Time,Neutral
1801,Internship,Neutral
1802,Full-Time,Very Satisfied
1803,Full-Time,Neutral
1804,Full-Time,Satisfied
1805,Internship,Very Dissatisfied
1806,Full-Time,Satisfied
1807,Freelance,Very Satisfied
1808,Contract,Dissatisfied
1809,Contract,Very Satisfied
1810,Part-Time,Neutral
1811,Internship,Satisfied
1812,Full-Time,Very Satisfied
1813,Full-Time,Satisfied
1814,Full-Time,Neutral
1815,Full-Time,Very Dissatisfied
1816,Contract,Very Dissatisfied
1817,Full-Time,Satisfied
1818,Part-Time,Very Dissatisfied
1819,Full-Time,Very Satisfied
1820,Full-Time,Satisfied
1821,Part-Time,Neutral
1822,Freelance,Very Satisfied
1823,Contract,Dissatisfied
1824,Part-Time,Dissatisfied
1825,Full-Time,Very Satisfied
1826,Full-Time,Satisfied
1827,Full-Time,Satisfied
1828,Part-Time,Neutral
1829,Part-Time,Satisfied
1830,Full-Time,Satisfied
1831,Internship,Dissatisfied
1832,Full-Time,Satisfied
1833,Full-Time,Satisfied
1834,Contract,Very Satisfied
1835,Full-Time,Very Satisfied
1836,Full-Time,Satisfied
1837,Full-Time,Neutral
1838,Internship,Very Satisfied
1839,Contract,Dissatisfied
1840,Internship,Satisfied
1841,Contract,Satisfied
1842,Full-Time,Neutral
1843,Full-Time,Satisfied
1844,Full-Time,Very Satisfied
1845,Freelance,Neutral
1846,Full-Time,Satisfied
1847,Full-Time,Very Satisfied
1848,Full-Time,Satisfied
1849,Full-Time,Very Satisfied
1850,Full-Time,Neutral
1851,Full-Time,Very Satisfied
1852,Full-Time,Neutral
1853,Freelance,Very Dissatisfied
1854,Full-Time,Neutral
1855,Full-Time,Satisfied
1856,Full-Time,Satisfied
1857,Full-Time,Satisfied
1858,Contract,Neutral
1859,Internship,Satisfied
1860,Full-Time,Dissatisfied
1861,Freelance,Satisfied
1862,Full-Time,Very Satisfied
1863,Contract,Neutral
1864,Full-Time,Dissatisfied
1865,Freelance,Very Dissatisfied
1866,Full-Time,Very Satisfied
1867,Full-Time,Very Satisfied
1868,Internship,Satisfied
1869,Full-Time,Satisfied
1870,Full-Time,Satisfied
1871,Freelance,Satisfied
1872,Internship,Satisfied
1873,Full-Time,Very Satisfied
1874,Full-Time,Very Satisfied
1875,Full-Time,Satisfied
1876,Internship,Satisfied
1877,Full-Time,Neutral
1878,Internship,Dissatisfied
1879,Full-Time,Dissatisfied
1880,Full-Time,Satisfied
1881,Contract,Satisfied
1882,Freelance,Satisfied
1883,Full-Time,Satisfied
1884,Freelance,Neutral
1885,Internship,Dissatisfied
1886,Part-Time,Very Dissatisfied
1887,Freelance,Very Dissatisfied
1888,Full-Time,Satisfied
1889,Full-Time,Satisfied
1890,Full-Time,Very Satisfied
1891,Internship,Satisfied
1892,Full-Time,Neutral
1893,Freelance,Satisfied
1894,Full-Time,Neutral
1895,Full-Time,Neutral
1896,Full-Time,Neutral
1897,Freelance,Very Satisfied
1898,Internship,Dissatisfied
1899,Full-Time,Satisfied
1900,Contract,Satisfied
1901,Internship,Dissatisfied
1902,Internship,Dissatisfied
1903,Contract,Neutral
1904,Full-Time,Neutral
1905,Full-Time,Satisfied
1906,Full-Time,Very Satisfied
1907,Contract,Neutral
1908,Full-Time,Satisfied
1909,Full-Time,Very Satisfied
1910,Freelance,Dissatisfied
1911,Full-Time,Satisfied
1912,Contract,Very Satisfied
1913,Full-Time,Satisfied
1914,Full-Time,Satisfied
1915,Full-Time,Very Satisfied
1916,Full-Time,Neutral
1917,Full-Time,Satisfied
1918,Full-Time,Dissatisfied
1919,Full-Time,Very Satisfied
